ID_Jugador;ID_Equipo;Temporada;Jugador;Posición;Año inicio;Año fin;Peso;Altura;Colegio;Fecha_Nacimiento
0;1610612775;1950;Curly Armstrong;G-F;1949;1951;77;180;Indiana University;November 1, 1918
1;1610612776;1950;Cliff Barker;SG;1950;1952;83;188;University of Kentucky;January 15, 1921
2;1610612772;1950;Leo Barnhorst;SF;1950;1954;86;193;University of Notre Dame;May 11, 1924
3;1610612798;1950;Ed Bartels;F;1950;1951;88;196;North Carolina State University;October 8, 1925
3;1610612743;1950;Ed Bartels;F;1950;1951;88;196;North Carolina State University;October 8, 1925
3;1610612752;1950;Ed Bartels;F;1950;1951;88;196;North Carolina State University;October 8, 1925
4;1610612776;1950;Ralph Beard;G;1950;1951;79;178;University of Kentucky;December 2, 1927
5;1610612793;1950;Gene Berce;G-F;1950;1950;79;180;Marquette University;November 22, 1926
6;1610612798;1950;Charlie Black;F-C;1949;1952;90;196;University of Kansas;June 15, 1921
6;1610612775;1950;Charlie Black;F-C;1949;1952;90;196;University of Kansas;June 15, 1921
6;1610612767;1950;Charlie Black;F-C;1949;1952;90;196;University of Kansas;June 15, 1921
7;1610612783;1950;Nelson Bobb;PG;1950;1953;77;183;Temple University;February 25, 1924
8;1610612783;1950;Jake Bornheimer;F-C;1949;1950;90;196;Muhlenberg College;June 29, 1927
9;1610612752;1950;Vince Boryla;SF;1950;1954;95;196;University of Denver;March 11, 1927
10;1610612795;1950;Don Boven;F-G;1950;1953;95;193;Western Michigan University;March 6, 1925
11;1610612795;1950;Harry Boykoff;C;1950;1951;102;208;St. John's University;July 24, 1922
12;1610612772;1950;Joe Bradley;G;1950;1950;79;190;Oklahoma State University;September 24, 1928
13;1610612789;1950;Bob Brannum;PF;1950;1955;97;196;Michigan State University;May 28, 1925
14;1610612752;1950;Carl Braun;G-F;1948;1962;81;196;Colgate University;September 25, 1927
15;1610612767;1950;Frankie Brian;G;1950;1956;81;185;Louisiana State University;May 1, 1923
16;1610612784;1950;Price Brookfield;F-G;1949;1950;83;193;West Texas A&M University;May 11, 192
17;1610612743;1950;Bob Brown;F;1949;1950;92;193;Miami University;November 12, 1923
18;1610612743;1950;Jim Browne;C;1949;1950;106;208;;January 1, 193
19;1610612768;1950;Walt Budko;PF;1949;1952;99;196;Columbia University;July 3, 1925
20;1610612789;1950;Jack Burmaster;G;1950;1950;86;190;University of Illinois at Urbana-Champaign;December 23, 1926
21;1610612768;1950;Tommy Byrnes;F-G;1947;1951;79;190;Seton Hall University;February 19, 1923
22;1610612784;1950;Bill Calhoun;SG;1949;1955;81;190;City College of San Francisco;November 4, 1927
23;1610612779;1950;Don Carlson;G-F;1947;1951;77;183;University of Minnesota;March 22, 1919
24;1610612775;1950;Bob Carpenter;F-C;1950;1951;90;196;East Texas State University;November 6, 1917
25;1610612798;1950;Jake Carter;F-C;1950;1950;88;193;East Texas State University;July 25, 1924
25;1610612743;1950;Jake Carter;F-C;1950;1950;88;193;East Texas State University;July 25, 1924
25;1610612767;1950;Jake Carter;F-C;1950;1950;88;193;East Texas State University;July 25, 1924
26;1610612792;1950;Al Cervi;PG;1950;1953;77;180;;February 12, 1917
27;1610612798;1950;John Chaney;F-C;1950;1950;83;190;Louisiana State University;February 29, 192
27;1610612793;1950;John Chaney;F-C;1950;1950;83;190;Louisiana State University;February 29, 192
27;1610612789;1950;John Chaney;F-C;1950;1950;83;190;Louisiana State University;February 29, 192
28;1610612792;1950;Leroy Chollet;F;1950;1951;86;188;Canisius College;March 5, 1925
29;1610612767;1950;Bill Closs;SF;1950;1952;88;196;Rice University;January 8, 1922
30;1610612798;1950;Paul Cloyd;G-F;1950;1950;81;188;University of Wisconsin;June 13, 192
30;1610612768;1950;Paul Cloyd;G-F;1950;1950;81;188;University of Wisconsin;June 13, 192
30;1610612795;1950;Paul Cloyd;G-F;1950;1950;81;188;University of Wisconsin;June 13, 192
31;1610612784;1950;Jack Coleman;PF;1950;1958;88;201;University of Louisville;May 23, 1924
32;1610612789;1950;Bobby Cook;G-F;1950;1950;70;178;University of Wisconsin;April 1, 1923
33;1610612792;1950;Ray Corley;G;1950;1953;81;183;Georgetown University;January 1, 1928
34;1610612743;1950;Jack Cotton;F-C;1950;1950;90;201;University of Wyoming;October 25, 1924
35;1610612743;1950;Dillard Crocker;PF;1949;1953;92;193;Western Michigan University;January 19, 1925
36;1610612783;1950;Chink Crossin;G;1948;1950;74;185;University of Pennsylvania;July 4, 1923
37;1610612784;1950;Fran Curran;G;1949;1950;79;183;University of Notre Dame;September 9, 1922
38;1610612743;1950;Jimmy Darden;G;1950;1950;77;185;University of Denver;June 19, 1922
39;1610612784;1950;Bob Davies;PG;1949;1955;79;185;Seton Hall University;January 15, 192
40;1610612797;1950;Hook Dillon;F;1950;1950;81;190;University of North Carolina;January 8, 1924
41;1610612743;1950;Earl Dodd;F;1950;1950;79;196;Truman State University;November 1, 1924
42;1610612768;1950;Joe Dolhon;G;1950;1951;79;183;New York University;July 9, 1927
43;1610612738;1950;Bob Doll;F-C;1947;1950;88;196;University of Colorado;August 1, 1919
44;1610612752;1950;Harry Donovan;G;1950;1950;81;188;Muhlenberg College;September 1, 1926
45;1610612784;1950;Andy Duncan;F-C;1949;1951;88;198;College of William & Mary;April 17, 1922
46;1610612793;1950;Dike Eddleman;SF;1950;1953;85;190;University of Illinois at Urbana-Champaign;December 27, 1922
47;1610612798;1950;Gene Englund;F-C;1950;1950;92;196;University of Wisconsin;October 21, 1917
47;1610612738;1950;Gene Englund;F-C;1950;1950;92;196;University of Wisconsin;October 21, 1917
47;1610612793;1950;Gene Englund;F-C;1950;1950;92;196;University of Wisconsin;October 21, 1917
48;1610612776;1950;Bob Evans;G;1950;1950;79;188;Butler University;May 31, 1925
49;1610612798;1950;Johnny Ezersky;F-G;1948;1950;79;190;University of Rhode Island;March 21, 1922
49;1610612768;1950;Johnny Ezersky;F-G;1948;1950;79;190;University of Rhode Island;March 21, 1922
49;1610612738;1950;Johnny Ezersky;F-G;1948;1950;79;190;University of Rhode Island;March 21, 1922
50;1610612797;1950;Bob Feerick;F-G;1947;1950;86;190;Santa Clara University;January 2, 192
51;1610612768;1950;George Feigenbaum;G;1950;1953;83;185;University of Kentucky;July 2, 1929
52;1610612779;1950;Arnie Ferrin;F-G;1949;1951;81;188;University of Utah;July 29, 1925
53;1610612783;1950;Jerry Fleishman;SG;1947;1953;86;188;New York University;February 14, 1922
54;1610612783;1950;Joe Fulks;PF;1947;1954;86;196;Murray State University;October 26, 1921
55;1610612792;1950;Bill Gabor;SG;1950;1955;77;180;Syracuse University;May 13, 1922
56;1610612795;1950;Elmer Gainer;F-C;1948;1950;88;198;DePaul University;November 22, 1918
57;1610612752;1950;Harry Gallatin;F-C;1949;1958;95;198;Truman State University;April 26, 1927
58;1610612783;1950;Vern Gardner;SG;1950;1952;90;196;University of Utah;May 14, 1925
59;1610612767;1950;Frank Gates;G;1950;1950;72;183;Sam Houston State University;April 12, 192
60;1610612793;1950;Dee Gibson;F-G;1950;1950;79;180;Western Kentucky University;August 25, 1923
61;1610612798;1950;Hoot Gibson;F-C;1950;1950;89;196;Creighton University;December 5, 1921
61;1610612738;1950;Hoot Gibson;F-C;1950;1950;89;196;Creighton University;December 5, 1921
61;1610612795;1950;Hoot Gibson;F-C;1950;1950;89;196;Creighton University;December 5, 1921
62;1610612797;1950;Chuck Gilmur;F-C;1947;1951;102;193;University of Washington;August 13, 1922
63;1610612779;1950;Normie Glick;F;1950;1950;86;201;Loyola Marymount University;November 1, 1927
64;1610612768;1950;Paul Gordon;F;1950;1950;83;190;University of Notre Dame;April 8, 1927
65;1610612772;1950;Joe Graboski;F-C;1949;1962;88;201;;January 15, 193
66;1610612779;1950;Bud Grant;F;1950;1951;88;190;University of Minnesota;May 2, 1927
67;1610612789;1950;Don Grate;F-G;1950;1950;83;188;Ohio State University;August 27, 1923
68;1610612776;1950;Alex Groza;C;1950;1951;98;201;University of Kentucky;October 7, 1926
69;1610612798;1950;Al Guokas;F-G;1950;1950;90;196;Saint Joseph's University;August 7, 1925
69;1610612743;1950;Al Guokas;F-G;1950;1950;90;196;Saint Joseph's University;August 7, 1925
69;1610612783;1950;Al Guokas;F-G;1950;1950;90;196;Saint Joseph's University;August 7, 1925
70;1610612772;1950;Robert Hahn;C;1950;1950;108;208;North Carolina State University;August 25, 1925
71;1610612797;1950;Chick Halbert;C;1947;1951;102;206;West Texas A&M University;February 27, 1919
72;1610612776;1950;Bruce Hale;G-F;1949;1951;77;185;Santa Clara University;August 3, 1918
73;1610612795;1950;Dale Hamilton;G-F;1950;1950;81;183;Franklin College;August 16, 1919
74;1610612792;1950;Alex Hannum;PF;1950;1957;95;201;University of Southern California;July 19, 1923
75;1610612767;1950;John Hargis;G-F;1950;1951;81;188;University of Texas at Austin;August 2, 192
76;1610612775;1950;Bob Harris;F-C;1950;1954;88;201;Oklahoma State University;March 16, 1927
77;1610612779;1950;Bob Harrison;G;1950;1958;88;201;University of Michigan;August 12, 1927
78;1610612798;1950;Billy Hassett;G;1950;1951;81;180;University of Notre Dame;October 21, 1921
78;1610612793;1950;Billy Hassett;G;1950;1951;81;180;University of Notre Dame;October 21, 1921
78;1610612779;1950;Billy Hassett;G;1950;1951;81;180;University of Notre Dame;October 21, 1921
79;1610612776;1950;Marshall Hawkins;F;1950;1950;92;190;University of Tennessee;August 3, 1924
80;1610612798;1950;Bill Henry;C;1949;1950;97;206;Rice University;December 27, 1924
80;1610612775;1950;Bill Henry;C;1949;1950;97;206;Rice University;December 27, 1924
80;1610612793;1950;Bill Henry;C;1949;1950;97;206;Rice University;December 27, 1924
81;1610612743;1950;Bill Herman;G;1950;1950;77;190;Mount Union College;May 17, 1924
82;1610612772;1950;Kleggie Hermsen;C-F;1947;1953;102;206;University of Minnesota;March 12, 1923
