ID_Partido;ID_Ganador;Ganador;TEMPORADA;PTS_Local;FG_PCT_Local;FT_PCT_Local;FG3_PCT_Local;AST_Local;REB_Local;PTS_Visita;FG_PCT_Visita;FT_PCT_Visita;FG3_PCT_Visita;AST_Visita;REB_Visita
22000645;1610612754;IND;2020;106;0,402;0,826;0,243;27;51;109;0,388;0,9;0,333;27;50
22000016;1610612760;OKC;2020;112;0,494;0,741;0,368;22;38;114;0,462;0,68;0,333;22;52
22000646;1610612740;NOP;2020;108;0,5;0,8;0,353;30;37;113;0,482;0,767;0,286;26;45
22000167;1610612753;ORL;2020;112;0,455;1;0,426;27;45;96;0,381;0,7;0,324;20;44
22000647;1610612751;BKN;2020;113;0,489;0,727;0,31;24;35;106;0,532;0,789;0,333;24;43
22000648;1610612739;CLE;2020;116;0,506;0,75;0,515;29;54;105;0,389;0,842;0,326;19;37
22000649;1610612765;DET;2020;86;0,39;0,72;0,16;20;37;100;0,463;0,857;0,5;26;52
22000650;1610612755;PHI;2020;100;0,432;0,565;0,458;16;44;101;0,463;0,609;0,44;19;44
22000651;1610612747;LAL;2020;111;0,483;0,783;0,281;30;51;94;0,412;0,679;0,2;20;41
22000652;1610612757;POR;2020;92;0,382;0,789;0,22;17;33;132;0,558;0,85;0,514;23;52
22000640;1610612737;ATL;2020;94;0,42;0,75;0,308;18;52;99;0,398;0,889;0,351;26;49
22000641;1610612755;PHI;2020;129;0,558;0,759;0,478;24;51;105;0,459;0,63;0,357;28;34
22000642;1610612763;MEM;2020;111;0,389;0,871;0,313;25;60;103;0,344;0,824;0,317;23;46
22000643;1610612749;MIL;2020;120;0,489;0,889;0,368;24;49;113;0,479;0,9;0,364;29;41
22000644;1610612766;CHA;2020;125;0,523;1;0,353;26;42;98;0,388;0,75;0,366;25;39
22000435;1610612759;SAS;2020;110;0,438;0,781;0,259;19;47;116;0,466;0,818;0,389;19;51
22000631;1610612738;BOS;2020;96;0,429;0,857;0,387;22;45;107;0,457;0,808;0,4;22;45
22000632;1610612754;IND;2020;110;0,446;0,95;0,265;22;36;137;0,584;0,684;0,556;38;47
22000633;1610612753;ORL;2020;121;0,512;0,7;0,525;26;44;113;0,473;0,739;0,27;24;39
22000634;1610612762;UTA;2020;112;0,482;0,786;0,477;31;31;115;0,459;0,854;0,324;21;48
22000635;1610612765;DET;2020;100;0,443;0,813;0,281;21;38;113;0,435;0,893;0,483;28;49
22000636;1610612744;GSW;2020;103;0,464;0,81;0,308;24;46;116;0,484;0,722;0,366;31;43
22000637;1610612743;DEN;2020;131;0,527;0,778;0,412;29;43;127;0,522;0,696;0,486;32;42
22000638;1610612756;PHX;2020;113;0,5;0,765;0,519;29;40;101;0,468;0,778;0,371;22;39
22000639;1610612757;POR;2020;125;0,473;0,882;0,468;17;43;119;0,543;0,923;0,452;25;39
22000166;1610612764;WAS;2020;131;0,547;0,789;0,412;23;43;122;0,458;0,571;0,375;19;47
22000626;1610612760;OKC;2020;116;0,54;0,846;0,333;26;50;93;0,366;0,75;0,382;18;38
22000627;1610612752;NYK;2020;94;0,43;0,545;0,412;24;43;93;0,427;0,813;0,294;21;49
22000628;1610612750;MIN;2020;119;0,529;0,737;0,417;29;47;123;0,473;0,686;0,324;22;38
22000629;1610612740;NOP;2020;101;0,379;0,84;0,326;11;50;93;0,398;0,68;0,27;24;44
22000630;1610612747;LAL;2020;116;0,478;0,75;0,333;23;48;105;0,494;0,6;0,379;26;44
22000616;1610612765;DET;2020;116;0,507;0,875;0,414;23;54;112;0,43;0,765;0,3;27;30
22000617;1610612751;BKN;2020;115;0,512;0,8;0,281;29;34;124;0,483;0,775;0,333;22;50
22000618;1610612749;MIL;2020;105;0,394;0,625;0,341;28;59;109;0,406;0,75;0,231;22;58
22000619;1610612758;SAC;2020;119;0,489;0,821;0,16;25;52;121;0,441;0,829;0,303;25;38
22000620;1610612739;CLE;2020;117;0,541;0,818;0,435;23;40;110;0,455;0,69;0,263;19;40
22000621;1610612741;CHI;2020;99;0,44;0,889;0,333;24;51;106;0,427;0,733;0,258;19;46
22000622;1610612745;HOU;2020;94;0,413;0,525;0,259;19;48;108;0,456;0,833;0,356;32;48
22000623;1610612763;MEM;2020;89;0,353;0,76;0,238;22;50;85;0,36;0,722;0,235;17;51
22000624;1610612743;DEN;2020;129;0,578;0,692;0,364;37;48;104;0,45;0,714;0,316;25;33
22000625;1610612746;LAC;2020;105;0,506;0,833;0,441;14;43;89;0,42;0,545;0,281;22;37
22000609;1610612762;UTA;2020;109;0,49;0,75;0,345;28;45;117;0,475;0,917;0,442;23;38
22000610;1610612739;CLE;2020;113;0,494;0,905;0,37;30;48;98;0,453;0,714;0,286;23;42
22000611;1610612755;PHI;2020;99;0,411;0,737;0,344;19;50;96;0,44;0,636;0,333;19;47
22000612;1610612741;CHI;2020;123;0,511;0,833;0,333;24;42;102;0,467;0,846;0,35;16;43
22000613;1610612737;ATL;2020;107;0,477;0,769;0,382;27;37;119;0,512;0,875;0,459;32;38
22000614;1610612757;POR;2020;125;0,521;1;0,419;20;32;124;0,523;0,8;0,485;38;41
22000615;1610612747;LAL;2020;137;0,575;0,857;0,5;37;43;121;0,522;0,727;0,314;28;34
22000602;1610612766;CHA;2020;122;0,479;0,8;0,4;30;46;116;0,558;0,647;0,29;28;44
22000603;1610612749;MIL;2020;122;0,506;0,75;0,421;34;33;133;0,553;0,947;0,393;29;46
22000428;1610612765;DET;2020;99;0,47;0,56;0,28;22;34;109;0,566;0,6;0,48;29;45
22000604;1610612751;BKN;2020;117;0,579;0,773;0,414;29;41;112;0,402;0,852;0,357;16;40
22000605;1610612742;DAL;2020;99;0,494;0,8;0,415;24;33;109;0,5;0,818;0,438;23;46
22000606;1610612743;DEN;2020;121;0,464;0,842;0,536;32;54;106;0,433;0,846;0,405;28;39
22000607;1610612763;MEM;2020;122;0,566;0,889;0,4;28;42;99;0,437;0,692;0,217;15;39
22000608;1610612744;GSW;2020;97;0,43;0,667;0,351;24;30;128;0,628;0,76;0,407;36;46
22000593;1610612760;OKC;2020;128;0,575;0,824;0,516;26;46;122;0,511;0,724;0,318;27;32
22000594;1610612744;GSW;2020;131;0,562;0,833;0,516;33;40;119;0,441;0,759;0,341;24;51
22000595;1610612759;SAS;2020;134;0,571;0,636;0,517;35;54;99;0,424;0,742;0,19;20;32
22000596;1610612753;ORL;2020;97;0,44;0,714;0,4;25;45;102;0,416;0,933;0,28;28;43
22000597;1610612739;CLE;2020;100;0,451;0,923;0,414;21;49;82;0,383;0,522;0,267;19;34
22000598;1610612738;BOS;2020;107;0,385;0,677;0,32;23;37;134;0,554;0,667;0,486;29;55
22000599;1610612750;MIN;2020;114;0,493;0,744;0,342;24;45;112;0,438;0,81;0,378;22;42
22000600;1610612761;TOR;2020;118;0,454;0,783;0,273;35;60;95;0,378;0,714;0,267;23;38
22000601;1610612740;NOP;2020;135;0,654;0,81;0,462;38;40;115;0,457;0,842;0,349;23;32
22000586;1610612760;OKC;2020;97;0,487;0,714;0,25;22;40;119;0,489;0,773;0,4;23;44
22000587;1610612765;DET;2020;100;0,488;0,727;0,222;22;35;95;0,404;0,75;0,25;26;46
22000588;1610612766;CHA;2020;114;0,481;0,789;0,429;30;51;104;0,385;0,833;0,326;25;47
22000589;1610612749;MIL;2020;119;0,457;0,773;0,39;25;41;125;0,434;0,88;0,378;33;57
22000590;1610612737;ATL;2020;121;0,512;0,697;0,364;21;45;106;0,439;0,813;0,194;27;47
22000591;1610612757;POR;2020;121;0,512;0,742;0,385;23;56;125;0,483;0,867;0,325;26;34
22000194;1610612754;IND;2020;111;0,473;0,765;0,387;28;40;122;0,529;0,81;0,464;25;45
22000592;1610612742;DAL;2020;103;0,411;0,722;0,39;27;42;116;0,488;0,875;0,391;26;48
22000069;1610612766;CHA;2020;93;0,407;0,667;0,29;23;42;108;0,478;0,8;0,359;34;48
22000070;1610612765;DET;2020;96;0,409;0,65;0,324;18;48;93;0,47;0,5;0,258;20;45
22000071;1610612742;DAL;2020;93;0,41;0,739;0,324;18;49;83;0,372;0,72;0,212;20;41
22000072;1610612751;BKN;2020;96;0,407;0,826;0,189;19;45;114;0,462;0,857;0,41;24;48
22000073;1610612741;CHI;2020;126;0,494;0,667;0,489;27;44;96;0,437;0,7;0,231;18;42
22000074;1610612764;WAS;2020;109;0,477;0,571;0,361;17;43;130;0,551;0,762;0,485;35;43
22000075;1610612747;LAL;2020;103;0,424;0,692;0,382;23;45;109;0,406;0,813;0,424;27;58
22000076;1610612756;PHX;2020;103;0,459;0,813;0,414;28;38;106;0,487;0,905;0,371;24;37
22000077;1610612762;UTA;2020;106;0,461;0,643;0,357;28;46;100;0,388;0,875;0,394;19;43
22000078;1610612744;GSW;2020;98;0,392;0,879;0,2;19;44;123;0,435;0,767;0,465;23;51
22000062;1610612739;CLE;2020;119;0,483;0,792;0,457;28;44;99;0,451;0,542;0,522;22;43
22000063;1610612741;CHI;2020;130;0,5;0,78;0,483;27;37;133;0,543;0,76;0,389;34;44
22000064;1610612753;ORL;2020;92;0,347;0,905;0,25;17;48;116;0,484;0,867;0,455;23;54
22000065;1610612745;HOU;2020;122;0,523;0,76;0,361;26;45;119;0,469;0,75;0,333;23;45
22000066;1610612752;NYK;2020;100;0,41;0,714;0,327;21;53;83;0,364;0,8;0,083;21;48
22000067;1610612760;OKC;2020;80;0,375;0,333;0,313;24;40;113;0,484;0,632;0,361;23;58
22000068;1610612762;UTA;2020;95;0,417;0,684;0,353;16;46;106;0,488;0,7;0,515;26;41
22000056;1610612738;BOS;2020;126;0,538;0,857;0,41;27;42;107;0,43;0,72;0,273;26;46
22000057;1610612751;BKN;2020;145;0,54;0,783;0,463;30;40;141;0,475;0,829;0,391;27;54
22000058;1610612748;MIA;2020;119;0,488;0,828;0,385;25;52;108;0,392;0,923;0,39;26;47
22000059;1610612742;DAL;2020;99;0,391;0,576;0,286;24;39;118;0,512;0,81;0,441;30;50
22000060;1610612747;LAL;2020;107;0,46;0,739;0,417;25;39;121;0,561;0,75;0,538;25;47
22000061;1610612746;LAC;2020;128;0,495;0,727;0,474;30;47;105;0,421;0,853;0,316;14;41
22000046;1610612752;NYK;2020;86;0,364;0,682;0,219;22;43;95;0,43;0,619;0,56;23;55
22000047;1610612744;GSW;2020;106;0,38;0,793;0,371;21;45;116;0,5;0,722;0,424;21;40
22000048;1610612738;BOS;2020;111;0,512;0,813;0,364;27;36;116;0,5;0,73;0,409;21;43
22000049;1610612761;TOR;2020;100;0,381;0,848;0,258;21;54;93;0,356;0,857;0,378;21;47
22000050;1610612741;CHI;2020;107;0,44;0,885;0,27;25;47;115;0,437;0,75;0,417;26;37
22000051;1610612748;MIA;2020;97;0,468;0,667;0,297;23;30;144;0,554;0,867;0,569;32;45
22000052;1610612753;ORL;2020;107;0,494;0,526;0,324;20;47;118;0,51;0,813;0,318;26;46
22000053;1610612740;NOP;2020;111;0,44;0,947;0,404;24;43;86;0,481;0,5;0,125;18;41
22000054;1610612746;LAC;2020;124;0,534;0,875;0,516;32;46;101;0,416;0,824;0,342;22;39
22000055;1610612758;SAC;2020;125;0,489;0,773;0,485;33;37;115;0,543;0,8;0,393;27;39
22000041;1610612737;ATL;2020;128;0,488;0,875;0,476;30;45;120;0,439;0,875;0,317;24;48
22000042;1610612763;MEM;2020;111;0,41;0,882;0,333;28;50;116;0,429;0,759;0,345;20;56
22000043;1610612762;UTA;2020;109;0,465;0,737;0,395;21;37;110;0,5;0,786;0,361;24;43
22000044;1610612743;DEN;2020;124;0,529;0,563;0,452;31;52;111;0,453;0,739;0,41;25;38
22000045;1610612757;POR;2020;107;0,471;0,833;0,37;20;41;115;0,467;0,867;0,348;27;45
22000031;1610612746;LAC;2020;73;0,342;0,85;0,121;13;36;124;0,494;0,889;0,341;25;54
22000032;1610612766;CHA;2020;106;0,448;0,588;0,294;35;52;104;0,427;0,68;0,362;23;46
22000033;1610612753;ORL;2020;113;0,485;0,846;0,25;27;47;120;0,435;0,974;0,36;19;45
22000034;1610612740;NOP;2020;98;0,383;0,724;0,208;15;56;95;0,427;1;0,306;26;47
22000035;1610612755;PHI;2020;118;0,527;0,813;0,391;31;45;94;0,418;0,727;0,324;24;39
22000036;1610612752;NYK;2020;130;0,541;0,815;0,593;27;46;110;0,432;0,724;0,184;24;44
22000037;1610612754;IND;2020;108;0,511;0,733;0,269;23;37;107;0,506;0,75;0,391;21;40
22000038;1610612744;GSW;2020;128;0,512;0,742;0,415;27;54;129;0,404;0,9;0,383;25;41
22000039;1610612756;PHX;2020;100;0,474;0,72;0,435;21;39;116;0,489;0,909;0,4;34;44
22000040;1610612750;MIN;2020;127;0,556;0,778;0,371;32;46;91;0,369;0,643;0,171;24;48
22000021;1610612737;ATL;2020;112;0,398;0,862;0,302;20;46;122;0,427;0,868;0,361;23;54
22000022;1610612760;OKC;2020;107;0,398;0,625;0,406;27;47;109;0,455;0,792;0,278;25;54
22000023;1610612739;CLE;2020;119;0,408;0,719;0,356;24;57;128;0,485;0,633;0,433;29;51
22000024;1610612753;ORL;2020;120;0,484;0,536;0,351;28;43;130;0,505;0,793;0,355;25;54
22000025;1610612752;NYK;2020;89;0,386;0,739;0,276;19;43;109;0,466;0,727;0,355;20;47
22000026;1610612754;IND;2020;106;0,374;0,88;0,41;23;41;125;0,559;0,632;0,346;34;49
22000027;1610612759;SAS;2020;119;0,47;0,688;0,412;36;53;114;0,458;0,733;0,366;32;46
22000028;1610612750;MIN;2020;111;0,383;0,784;0,294;15;57;116;0,446;0,722;0,448;21;40
22000029;1610612757;POR;2020;128;0,461;0,652;0,422;27;45;126;0,517;0,781;0,314;27;42
22000030;1610612758;SAC;2020;106;0,453;0,697;0,217;20;56;103;0,418;0,769;0,25;25;40
22000005;1610612740;NOP;2020;111;0,507;0,826;0,432;29;35;98;0,397;0,788;0,286;18;41
22000006;1610612744;GSW;2020;138;0,556;0,692;0,556;25;60;99;0,343;0,84;0,222;14;43
22000007;1610612738;BOS;2020;95;0,378;0,684;0,296;23;47;123;0,539;0,839;0,517;21;43
22000008;1610612747;LAL;2020;138;0,56;0,708;0,487;33;53;115;0,494;0,769;0,406;20;27
22000009;1610612746;LAC;2020;108;0,457;0,742;0,306;25;32;121;0,554;0,833;0,5;32;38
22000010;1610612739;CLE;2020;121;0,529;0,75;0,467;34;50;114;0,5;0,533;0,364;29;32
22000011;1610612754;IND;2020;121;0,489;0,724;0,235;28;50;107;0,459;0,739;0,429;25;40
22000012;1610612753;ORL;2020;113;0,477;0,633;0,357;23;41;107;0,506;0,842;0,35;25;43
22000013;1610612755;PHI;2020;113;0,471;0,767;0,286;22;47;107;0,459;0,696;0,481;28;40
22000003;1610612738;BOS;2020;122;0,475;0,727;0,45;23;37;121;0,511;0,833;0,4;19;52
22000014;1610612761;TOR;2020;99;0,427;0,75;0,304;26;35;113;0,525;0,5;0,452;30;45
22000015;1610612737;ATL;2020;104;0,414;0,857;0,229;20;37;124;0,538;0,828;0,4;24;46
22000017;1610612759;SAS;2020;119;0,516;0,611;0,37;27;42;131;0,505;0,862;0,4;28;48
22000018;1610612750;MIN;2020;111;0,432;0,857;0,268;25;48;101;0,484;0,375;0,229;29;44
22000019;1610612758;SAC;2020;122;0,48;0,833;0,276;28;46;124;0,441;0,774;0,323;27;54
22000020;1610612762;UTA;2020;100;0,402;0,824;0,364;23;40;120;0,457;0,789;0,38;24;59
22000004;1610612756;PHX;2020;106;0,481;0,704;0,367;21;48;102;0,424;0,808;0,243;17;39
22000001;1610612744;GSW;2020;125;0,457;0,813;0,429;24;57;99;0,374;0,652;0,303;26;47
22000002;1610612746;LAC;2020;109;0,469;0,774;0,31;22;45;116;0,473;0,737;0,35;22;40
22000579;1610612755;PHI;2020;101;0,488;0,591;0,333;19;32;127;0,544;1;0,524;26;49
22000580;1610612743;DEN;2020;102;0,46;1;0,5;27;45;103;0,446;0,727;0,351;27;45
22000581;1610612739;CLE;2020;116;0,465;0,842;0,25;25;70;82;0,341;0,75;0,219;13;33
22000582;1610612741;CHI;2020;90;0,374;1;0,395;25;49;101;0,463;0,75;0,343;26;41
